iter	Passed	Remaining
0	159	158982
1	160	80202
2	161	53825
3	163	40669
4	164	32798
5	166	27523
6	167	23747
7	168	20908
8	169	18694
9	171	16998
10	173	15569
11	174	14361
12	175	13340
13	176	12460
14	178	11696
15	179	11022
16	180	10428
17	181	9900
18	183	9474
19	185	9065
20	186	8694
21	188	8360
22	189	8069
23	191	7782
24	192	7507
25	193	7253
26	194	7015
27	195	6798
28	197	6608
29	198	6429
30	200	6253
31	201	6093
32	202	5942
33	203	5794
34	205	5652
35	206	5518
36	207	5392
37	208	5274
38	209	5161
39	210	5062
40	212	4968
41	213	4875
42	215	4785
43	216	4701
44	217	4616
45	218	4534
46	219	4455
47	220	4381
48	222	4310
49	223	4242
50	224	4178
51	226	4120
52	227	4062
53	228	4004
54	229	3948
55	231	3894
56	232	3843
57	233	3792
58	234	3742
59	235	3693
60	236	3645
61	238	3602
62	239	3567
63	241	3537
64	243	3496
65	244	3457
66	245	3417
67	246	3382
68	247	3344
69	248	3308
70	250	3272
71	251	3238
72	252	3205
73	253	3173
74	255	3146
75	256	3118
76	257	3088
77	258	3058
78	259	3029
79	261	3003
80	262	2978
81	263	2954
82	264	2922
83	265	2898
84	266	2873
85	268	2848
86	269	2831
87	271	2811
88	272	2788
89	273	2766
90	274	2746
91	276	2725
92	277	2708
93	278	2687
94	279	2667
95	281	2646
96	282	2626
97	283	2611
98	285	2596
99	286	2579
100	287	2561
101	288	2544
102	290	2527
103	291	2509
104	292	2492
105	293	2475
106	294	2459
107	295	2442
108	296	2427
109	298	2416
110	300	2403
111	301	2388
112	302	2373
113	303	2360
114	304	2346
115	306	2331
116	307	2317
117	308	2303
118	309	2289
119	310	2276
120	311	2262
121	312	2250
122	314	2240
123	315	2229
124	316	2217
125	318	2206
126	319	2193
127	320	2181
128	321	2170
129	322	2159
130	323	2148
131	325	2137
132	326	2125
133	327	2116
134	329	2110
135	330	2102
136	332	2092
137	333	2081
138	334	2072
139	335	2062
140	336	2052
141	337	2039
142	338	2029
143	340	2021
144	341	2012
145	342	2005
146	344	1997
147	345	1989
148	346	1980
149	347	1971
150	349	1963
151	350	1957
152	352	1948
153	353	1940
154	354	1931
155	355	1923
156	356	1915
157	358	1909
158	359	1902
159	360	1894
160	361	1884
161	363	1878
162	364	1870
163	365	1862
164	366	1854
165	367	1846
166	368	1838
167	369	1830
168	370	1823
169	374	1827
170	375	1821
171	377	1815
172	378	1810
173	380	1804
174	381	1797
175	383	1793
176	384	1789
177	387	1787
178	388	1783
179	390	1778
180	391	1772
181	392	1765
182	393	1758
183	395	1752
184	396	1745
185	397	1739
186	398	1732
187	400	1728
188	401	1724
189	403	1722
190	405	1717
191	406	1711
192	407	1705
193	408	1699
194	410	1692
195	411	1686
196	412	1680
197	413	1674
198	414	1668
199	416	1665
200	418	1662
201	419	1657
202	420	1652
203	422	1647
204	423	1641
205	424	1636
206	425	1630
207	426	1624
208	427	1618
209	428	1613
210	429	1607
211	432	1605
212	433	1603
213	435	1598
214	436	1594
215	437	1589
216	439	1584
217	440	1578
218	441	1573
219	442	1567
220	443	1562
221	444	1557
222	445	1552
223	447	1549
224	448	1545
225	450	1541
226	451	1536
227	452	1531
228	453	1526
229	454	1521
230	455	1516
231	456	1511
232	457	1506
233	458	1501
234	460	1498
235	461	1495
236	463	1491
237	464	1486
238	465	1482
239	466	1477
240	467	1472
241	468	1468
242	469	1463
243	471	1459
244	472	1454
245	473	1450
246	474	1445
247	476	1443
248	477	1440
249	478	1436
250	480	1432
251	481	1428
252	482	1424
253	483	1419
254	484	1415
255	485	1411
256	486	1406
257	487	1402
258	488	1398
259	490	1396
260	492	1395
261	494	1392
262	495	1388
263	496	1385
264	498	1381
265	499	1378
266	500	1374
267	502	1371
268	504	1371
269	506	1370
270	508	1367
271	509	1364
272	511	1360
273	512	1357
274	513	1353
275	515	1351
276	516	1348
277	520	1350
278	522	1349
279	523	1346
280	528	1351
281	529	1348
282	530	1344
283	532	1341
284	533	1338
285	535	1335
286	537	1335
287	539	1334
288	544	1340
289	546	1337
290	547	1334
291	549	1332
292	552	1332
293	555	1333
294	556	1330
295	558	1327
296	559	1325
297	561	1322
298	562	1319
299	566	1322
300	568	1319
301	572	1322
302	574	1322
303	578	1324
304	582	1327
305	585	1327
306	586	1324
307	588	1321
308	589	1318
309	590	1314
310	591	1311
311	593	1309
312	597	1310
313	598	1308
314	600	1305
315	601	1302
316	602	1298
317	604	1295
318	605	1292
319	621	1320
320	622	1317
321	624	1314
322	625	1310
323	626	1307
324	628	1305
325	630	1303
326	632	1301
327	634	1299
328	635	1296
329	636	1292
330	638	1289
331	639	1286
332	643	1289
333	649	1294
334	651	1293
335	653	1291
336	656	1292
337	658	1289
338	660	1287
339	661	1284
340	663	1281
341	664	1278
342	665	1275
343	667	1272
344	669	1270
345	680	1285
346	681	1282
347	683	1280
348	686	1279
349	687	1276
350	689	1274
351	693	1276
352	694	1273
353	695	1269
354	697	1266
355	698	1263
356	699	1260
357	701	1257
358	702	1254
359	704	1251
360	705	1249
361	706	1245
362	708	1242
363	709	1239
364	710	1235
365	711	1232
366	712	1228
367	713	1225
368	715	1223
369	717	1221
370	718	1217
371	719	1214
372	720	1211
373	722	1208
374	723	1205
375	724	1201
376	725	1198
377	726	1195
378	727	1192
379	729	1189
380	730	1187
381	732	1184
382	733	1181
383	734	1178
384	735	1175
385	736	1172
386	738	1169
387	739	1165
388	740	1162
389	741	1159
390	742	1156
391	744	1154
392	745	1151
393	747	1149
394	748	1146
395	750	1143
396	751	1141
397	752	1138
398	753	1135
399	754	1132
400	756	1129
401	757	1126
402	759	1124
403	761	1123
404	763	1121
405	764	1119
406	766	1116
407	767	1113
408	768	1110
409	769	1107
410	770	1104
411	772	1101
412	774	1100
413	775	1097
414	776	1095
415	777	1092
416	779	1089
417	780	1086
418	781	1083
419	782	1080
420	783	1078
421	785	1075
422	786	1072
423	787	1069
424	789	1067
425	790	1065
426	791	1062
427	792	1059
428	794	1057
